iter	Passed	Remaining
0	174	174804
1	189	94764
2	205	68233
3	220	54825
4	233	46405
5	245	40687
6	257	36523
7	270	33521
8	282	31067
9	293	29096
10	302	27177
11	310	25551
12	317	24075
13	323	22800
14	330	21694
15	337	20747
16	343	19878
17	349	19090
18	356	18419
19	363	17799
20	370	17260
21	377	16761
22	383	16290
23	390	15866
24	396	15482
25	403	15124
26	410	14810
27	418	14524
28	425	14231
29	432	13982
30	439	13747
31	447	13542
32	454	13312
33	462	13133
34	470	12973
35	478	12811
36	485	12634
37	492	12462
38	499	12300
39	505	12139
40	513	11999
41	518	11833
42	526	11715
43	533	11595
44	540	11478
45	547	11360
46	554	11247
47	561	11141
48	568	11034
49	575	10926
50	582	10837
51	589	10738
52	595	10639
53	602	10554
54	609	10474
55	617	10401
56	623	10318
57	630	10241
58	637	10173
59	643	10085
60	650	10017
61	657	9953
62	664	9885
63	671	9819
64	678	9764
65	686	9715
66	693	9663
67	701	9610
68	708	9564
69	716	9515
70	723	9466
71	731	9421
72	738	9377
73	744	9315
74	751	9271
75	760	9240
76	767	9195
77	774	9151
78	781	9108
79	788	9068
80	796	9032
81	802	8989
82	810	8954
83	818	8925
84	826	8893
85	834	8867
86	841	8830
87	849	8803
88	857	8772
89	863	8726
90	869	8688
91	876	8649
92	882	8610
93	888	8563
94	895	8530
95	902	8494
96	908	8460
97	915	8425
98	922	8395
99	929	8364
100	936	8333
101	943	8308
102	950	8278
103	956	8239
104	962	8207
105	969	8176
106	976	8148
107	983	8120
108	989	8091
109	996	8062
110	1003	8034
111	1010	8008
112	1016	7982
113	1023	7954
114	1031	7936
115	1038	7912
116	1044	7884
117	1049	7847
118	1056	7822
119	1062	7794
120	1069	7770
121	1076	7745
122	1083	7724
123	1089	7699
124	1096	7677
125	1103	7652
126	1109	7628
127	1116	7605
128	1123	7584
129	1129	7559
130	1136	7539
131	1143	7517
132	1149	7490
133	1154	7463
134	1161	7442
135	1167	7419
136	1174	7401
137	1180	7376
138	1186	7352
139	1193	7331
140	1200	7311
141	1206	7291
142	1213	7274
143	1219	7251
144	1226	7231
145	1232	7210
146	1239	7193
147	1247	7183
148	1255	7169
149	1261	7151
